"","x"
"806",0.886890032310849
"807",-0.852706711580678
"808",-0.641436755643604
"809",-1.42020853920464
"810",1.27679493931195
"811",0.939915669769889
"812",-1.77315930711479
"813",-2.32800498477343
"814",1.47864389178831
"815",-1.15237499837655
"816",-2.66488475308349
"817",0.948558993780525
"818",-2.47366157793389
"819",1.0245648561246
"820",-0.664614831140714
"821",-1.70576899087878
"822",-1.64833871432952
"823",-0.956300567524445
"824",1.30783997609673
"825",0.689870004958445
"826",-2.86499764636786
"827",-1.04291510582283
"828",-0.703170972642865
"829",1.20120427874774
"830",-1.27721107282791
"831",-2.59076399612952
"832",-0.84501422754958
"833",-0.7296873550794
"834",-2.09456336867563
"835",-1.29951424510778
"836",0.900790025383787
"837",-1.24970024111482
"838",-1.40928284150838
"839",-1.14284505378484
"840",-1.64760545476702
"841",-0.643864264317621
"842",-2.02028700913573
"843",0.598875912399512
"844",-1.16101322707651
"845",-1.90121486544763
"846",-0.787843193270113
"847",-0.779804410846263
"848",1.05165674435519
"849",-1.28811366379088
"850",1.14297467920554
"851",1.27424892556244
"852",0.978181496821657
"853",-1.32478665439754
"854",-0.828634934514011
"855",-2.08827295412099
"856",1.10484067738745
"857",0.968435201795142
"858",-1.54148105907055
"859",-2.00679508296752
"860",-1.73810367644873
"861",-3.04177883010524
"862",-0.703333758329801
"863",0.856298900925067
"864",0.978892230993546
"865",1.14253735472105
"866",1.63085751677863
"867",-0.661477099032344
"868",1.20615519417172
"869",0.738187649181946
"870",-0.888076349686467
"871",1.1397038133935
"872",-1.45595241984985
"873",-0.79535654491235
"874",1.7244662032764
"875",-0.672157155096376
"876",0.957176039037538
"877",-1.97186313586325
"878",-0.667203924726794
"879",-2.09364156903608
"880",-1.7550066986699
"881",0.656947849811387
"882",0.793446689698302
"883",0.846909375203755
"884",-1.49853562456879
"885",-1.04445488007432
"886",1.75903223500935
"887",-0.768100211566205
"888",-0.683047560875978
"889",0.709873274257945
"890",-0.917932170593555
"891",-2.90578849584538
"892",0.639795821254837
"893",2.15205095026834
"894",-2.75839058691322
"895",-0.719906214834537
"896",0.761200763890753
"897",-0.580391745447374
"898",1.02769259009864
"899",-2.25959669803236
"900",0.980988581923047
"901",4.62177742396961
"902",0.753612828824554
"903",-1.86779889905525
"904",0.865416924072907
"905",-1.49617839889121
"906",-1.35690144439712
"907",-0.808003039074643
"908",1.36128337642888
"909",0.65034698062269
"910",2.60925835788272
"911",0.821591685074985
"912",-1.8203635608444
"913",-0.609701206400141
"914",0.694643828659474
"915",-2.80268474772484
"916",-3.67074798300717
"917",-2.71531484439655
"918",1.26220341454504
"919",1.70928708400058
"920",1.07582186960085
"921",-1.07687253512502
"922",1.09529002369664
"923",-0.967935692728751
"924",-3.03907518270455
"925",0.897915814091586
"926",-1.58603603358481
"927",-0.854113645948403
"928",-1.58412062040457
"929",0.462961971126447
"930",1.23516419379244
"931",-0.763290514402074
"932",1.00373016920793
"933",-1.03237605274029
"934",1.07084936127465
"935",-0.725852393091121
"936",0.769069604307135
"937",-2.19037607317881
"938",0.730767395439373
"939",0.80505948070318
"940",0.90543447115802
"941",0.707641201615612
"942",0.839855027041738
"943",-0.975116145065869
"944",-0.795445743168756
"945",0.921248547027133
"946",-1.0866591067671
"947",-0.909043976529645
"948",-3.1104622238532
"949",-1.71289626527523
"950",0.837620260455238
"951",-0.916727631026759
"952",0.737605986070915
"953",3.17205811393286
"954",-3.13849738059323
"955",1.10931065958877
"956",2.61276644309487
"957",0.737284394969993
"958",-0.737776499734883
"959",-1.99498830557835
"960",1.31065741599266
"961",2.74368955720415
"962",0.712337088708954
"963",1.2310313078566
"964",-1.04806994725963
"965",1.16790504926573
"966",-1.92350974546768
"967",1.17673559711655
"968",0.633843459603297
"969",-1.08819490835215
"970",-0.624692955121133
"971",-1.45345707823921
"972",-0.908850369475219
"973",0.557280200900221
"974",0.765686291250415
"975",-0.6457605413594
"976",0.843181101774544
"977",-0.50328081940266
"978",-1.46177546268486
"979",1.59297137924544
"980",0.856707990870524
"981",-1.52842367607502
"982",-1.53090129899093
"983",4.74565669316029
"984",1.23379508006855
"985",-1.19251876843841
"986",0.75021816074095
"987",1.08264007498872
"988",-2.87371231606933
"989",-2.60919745314847
"990",-1.63644366966176
"991",-0.596823992698991
"992",1.04890228109779
"993",0.492690056856875
"994",1.12106726068016
"995",0.78282350120478
"996",0.66017585425777
"997",-0.669043520983777
"998",-1.2959995253721
"999",1.25314269846779
"1000",-1.99874085655683
"1001",-0.838924974912502
"1002",2.00230856900274
"1003",1.19457764344465
"1004",-1.60379043810211
"1005",0.770112384116576
"1006",1.25214584099427
"1007",-1.36555966389657
"1008",1.70802074440601
"1009",-0.71627382387249
"1010",-0.738531860659039
"1011",-2.55397676833054
"1012",1.88015911055215
"1013",-0.66707523646394
"1014",2.37003460423928
"1015",0.736979610602302
"1016",-0.831698013844794
"1017",0.817762758866102
"1018",-1.33466698001663
"1019",0.648410690128174
"1020",-0.432506208696926
"1021",0.96454378262888
"1022",-2.75714018931676
"1023",-3.00097150925533
"1024",-0.696732740497768
"1025",1.19763978045614
"1026",1.34542123947478
"1027",-1.30683151042973
"1028",1.21827857117032
"1029",1.06808939425969
"1030",1.20038121969403
"1031",0.940319570949238
"1032",-0.977961816143228
"1033",-1.3116289734158
"1034",-0.801031974255769
"1035",2.76971002112654
"1036",-0.593822702485621
"1037",-1.33327287072572
"1038",0.920303877822974
"1039",0.953062088552167
"1040",0.999693699823089
"1041",-2.80062012702778
"1042",-0.938929529176621
"1043",1.42273813535401
"1044",0.644983579184774
"1045",1.01456802092981
"1046",-0.745315537256865
"1047",-0.824861920131719
"1048",-0.925194075351817
"1049",0.785658128683756
"1050",-0.944990987364632
"1051",0.773168224742007
"1052",1.01829445399902
"1053",1.22313169539469
"1054",-1.10385072301268
"1055",-2.44600513949216
"1056",0.734113667019732
"1057",-0.93384921361692
"1058",1.45771711961431
"1059",-1.07132249861873
"1060",-1.09984316123851
"1061",0.676864291240256
"1062",0.678122178239665
"1063",0.799960809828092
"1064",1.44374253278839
"1065",1.06569804469237
"1066",-1.05925020950743
"1067",-1.15422113314037
"1068",-0.539130985878028
"1069",-0.90427551087824
"1070",1.00325438874849
"1071",0.892252802245841
"1072",0.786640466407424
"1073",-1.47872501553441
"1074",0.832614338959771
"1075",-1.76295172408375
"1076",-2.53521050149276
"1077",-0.894759951177071
"1078",2.44698136646076
"1079",1.5826818445379
"1080",0.730525341350183
"1081",-0.808370441338605
"1082",0.863646801480024
"1083",-0.538286154609445
"1084",0.866029889844578
"1085",-0.799546963685955
"1086",-0.702877509787275
"1087",-1.32720471299849
"1088",1.32201948473508
"1089",0.550610590417929
"1090",-1.87635454178893
"1091",-1.58749393954573
"1092",-1.83084307292535
"1093",1.38107676825103
"1094",1.00744797703621
"1095",0.804083697044283
"1096",-0.742478720572588
"1097",0.912151045656915
"1098",-0.806761724625592
"1099",1.29355664551562
"1100",-1.80759663968086
"1101",-0.883441469545549
"1102",-0.55758057132179
"1103",-1.1104823642982
"1104",0.667428884896388
"1105",0.626071274928262
"1106",-0.878583404074268
"1107",2.22774893158966
"1108",-2.19580879671484
"1109",-1.11593458140167
"1110",-1.17481984718327
"1111",-0.570757592361157
"1112",-0.808446175995877
